0	 289	 0.00
30	 290	 0.10
60	 289	 0.21
90	 287	 0.31
120	 288	 0.42
150	 288	 0.52
180	 288	 0.62
210	 289	 0.73
240	 289	 0.83
270	 289	 0.93
300	 288	 1.04
330	 288	 1.14
