20220927-223315,  0.0,  0.0, 37.247094, 101.393946,   95.3,  52.8, -133.8
20220927-223315,  1.2, -3.1, 37.247105, 101.393918,   94.8,  52.8, -133.8
20220927-223315,  2.4, -6.0, 37.247115, 101.393892,   94.4,  52.8, -133.9
20220927-223315,  3.5, -8.8, 37.247126, 101.393867,   94.9,  52.8, -133.9
20220927-223315,  4.6, -11.6, 37.247136, 101.393841,   95.3,  52.8, -133.9
20220927-223315,  5.6, -14.3, 37.247145, 101.393818,   94.9,  52.8, -133.9
20220927-223315,  6.6, -16.8, 37.247154, 101.393794,   94.4,  52.8, -133.9
20220927-223315,  7.7, -19.4, 37.247163, 101.393771,   94.4,  52.8, -133.9
20220927-223315,  8.7, -22.0, 37.247172, 101.393748,   93.9,  52.8, -133.9
20220927-223315,  9.7, -24.6, 37.247182, 101.393725,   93.8,  52.8, -133.9
20220927-223315,  10.7, -27.2, 37.247191, 101.393701,   94.0,  52.8, -133.9
20220927-223315,  11.8, -29.9, 37.247200, 101.393677,   94.2,  52.8, -133.9
20220927-223315,  12.8, -32.5, 37.247210, 101.393653,   94.4,  52.8, -133.9
20220927-223315,  13.9, -35.2, 37.247219, 101.393629,   94.2,  52.8, -133.9
20220927-223315,  14.9, -37.8, 37.247228, 101.393606,   94.3,  52.8, -133.9
20220927-223315,  15.9, -40.4, 37.247238, 101.393583,   94.5,  52.8, -133.9
20220927-223315,  16.9, -43.0, 37.247247, 101.393560,   94.4,  52.8, -133.9
20220927-223315,  18.0, -45.5, 37.247256, 101.393537,   94.1,  52.8, -133.9
20220927-223315,  19.0, -48.1, 37.247265, 101.393513,   94.1,  52.8, -134.0
20220927-223315,  20.0, -50.7, 37.247274, 101.393490,   94.2,  52.8, -134.0
20220927-223315,  21.0, -53.3, 37.247283, 101.393467,   94.3,  52.8, -134.0
20220927-223315,  22.0, -55.9, 37.247292, 101.393444,   94.5,  52.8, -134.0
20220927-223315,  23.1, -58.4, 37.247302, 101.393420,   95.1,  52.8, -134.0
20220927-223315,  24.1, -61.0, 37.247311, 101.393397,   94.9,  52.8, -134.0
20220927-223315,  25.1, -63.6, 37.247320, 101.393374,   94.8,  52.8, -134.0
20220927-223315,  26.1, -66.2, 37.247329, 101.393351,   95.1,  52.8, -134.0
20220927-223315,  27.1, -68.8, 37.247338, 101.393328,   95.4,  52.8, -134.0
20220927-223315,  28.1, -71.3, 37.247347, 101.393304,   95.5,  52.8, -134.0
20220927-223315,  29.2, -73.9, 37.247356, 101.393281,   96.0,  52.8, -134.0
20220927-223315,  30.2, -76.5, 37.247366, 101.393258,   96.5,  52.8, -134.0
20220927-223315,  31.2, -79.1, 37.247375, 101.393235,   96.0,  52.8, -134.0
20220927-223315,  32.2, -81.7, 37.247384, 101.393212,   95.9,  52.8, -134.0
20220927-223316,  33.2, -84.2, 37.247393, 101.393188,   95.9,  52.8, -134.0
20220927-223316,  34.2, -86.8, 37.247402, 101.393165,   95.6,  52.8, -134.0
20220927-223316,  35.3, -89.4, 37.247411, 101.393142,   95.6,  52.8, -134.0
20220927-223316,  36.3, -92.0, 37.247420, 101.393119,   95.7,  52.8, -134.1
20220927-223316,  37.3, -94.6, 37.247430, 101.393096,   94.8,  52.8, -134.1
20220927-223316,  38.3, -97.2, 37.247439, 101.393072,   94.7,  52.8, -134.1
20220927-223316,  39.3, -99.7, 37.247448, 101.393049,   94.7,  52.8, -134.1
20220927-223316,  40.3, -102.3, 37.247457, 101.393026,   94.6,  52.8, -134.1
20220927-223316,  41.4, -104.9, 37.247466, 101.393003,   94.8,  52.8, -134.1
20220927-223316,  42.4, -107.5, 37.247475, 101.392979,   94.7,  52.8, -134.1
20220927-223316,  43.4, -110.0, 37.247484, 101.392956,   94.8,  52.8, -134.1
20220927-223316,  44.4, -112.6, 37.247494, 101.392933,   95.3,  52.8, -134.1
20220927-223316,  45.4, -115.2, 37.247503, 101.392910,   95.1,  52.8, -134.1
20220927-223316,  46.4, -117.8, 37.247512, 101.392887,   94.9,  52.8, -134.1
20220927-223316,  47.4, -120.3, 37.247521, 101.392864,   94.8,  52.8, -134.1
20220927-223316,  48.5, -122.9, 37.247530, 101.392840,   94.7,  52.8, -134.1
20220927-223316,  49.5, -125.5, 37.247539, 101.392817,   94.8,  52.8, -134.1
20220927-223316,  50.5, -128.1, 37.247548, 101.392794,   94.7,  52.8, -134.1
20220927-223316,  51.6, -130.8, 37.247558, 101.392770,   94.8,  52.8, -134.1
20220927-223316,  0.0,  0.0, 37.247094, 101.393946,   94.3,  10.9, -27.8
20220927-223316,  0.2, -0.6, 37.247096, 101.393940,   94.1,  10.9, -27.8
20220927-223316,  0.5, -1.2, 37.247099, 101.393935,   94.0,  10.9, -27.8
20220927-223316,  0.7, -1.8, 37.247101, 101.393930,   94.0,  10.9, -27.9
20220927-223316,  0.9, -2.4, 37.247103, 101.393925,   93.9,  10.9, -27.9
20220927-223316,  1.1, -2.9, 37.247105, 101.393920,   93.8,  10.9, -27.9
